[2022-04-14 16:28:40,915 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-22 - 2022-03-23
[2022-04-14 16:28:41,932 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-23 - 2022-03-24
[2022-04-14 16:28:42,936 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-24 - 2022-03-25
[2022-04-14 16:28:43,976 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-25 - 2022-03-26
[2022-04-14 16:28:45,218 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-26 - 2022-03-27
[2022-04-14 16:28:46,407 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-27 - 2022-03-28
[2022-04-14 16:28:47,361 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-28 - 2022-03-29
[2022-04-14 16:28:48,463 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-29 - 2022-03-30
[2022-04-14 16:28:49,570 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-30 - 2022-03-31
[2022-04-14 16:28:50,618 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-31 - 2022-04-01
[2022-04-14 16:28:51,806 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-01 - 2022-04-02
[2022-04-14 16:28:52,913 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-02 - 2022-04-03
[2022-04-14 16:28:53,949 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-03 - 2022-04-04
[2022-04-14 16:28:54,986 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-04 - 2022-04-05
[2022-04-14 16:28:56,184 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-05 - 2022-04-06
[2022-04-14 16:28:57,142 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-06 - 2022-04-07
[2022-04-14 16:28:58,380 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-07 - 2022-04-08
[2022-04-14 16:28:59,533 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-08 - 2022-04-09
[2022-04-14 16:29:00,606 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-09 - 2022-04-10
[2022-04-14 16:29:01,746 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-10 - 2022-04-11
[2022-04-14 16:29:03,049 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-11 - 2022-04-12
[2022-04-14 16:29:04,036 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-12 - 2022-04-13
[2022-04-14 16:29:04,160 | INFO]: =========== Script end C:\Doc\pythonProject\iter_date_range_download.py ===========
[2022-04-14 16:29:40,146 | INFO]: =========== Script launch C:\Doc\pythonProject\iter_date_range_download.py ===========
[2022-04-14 16:29:45,740 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-15 - 2022-03-16
[2022-04-14 16:29:46,673 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-16 - 2022-03-17
[2022-04-14 16:29:47,757 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-17 - 2022-03-18
[2022-04-14 16:29:49,141 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-18 - 2022-03-19
[2022-04-14 16:29:50,536 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-19 - 2022-03-20
[2022-04-14 16:29:51,722 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-20 - 2022-03-21
[2022-04-14 16:29:52,844 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-21 - 2022-03-22
[2022-04-14 16:29:53,840 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-22 - 2022-03-23
[2022-04-14 16:29:54,792 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-23 - 2022-03-24
[2022-04-14 16:29:55,792 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-24 - 2022-03-25
[2022-04-14 16:29:56,777 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-25 - 2022-03-26
[2022-04-14 16:29:58,109 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-26 - 2022-03-27
[2022-04-14 16:29:59,281 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-27 - 2022-03-28
[2022-04-14 16:30:00,215 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-28 - 2022-03-29
[2022-04-14 16:30:01,298 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-29 - 2022-03-30
[2022-04-14 16:30:02,369 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-30 - 2022-03-31
[2022-04-14 16:30:03,396 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-31 - 2022-04-01
[2022-04-14 16:30:04,570 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-01 - 2022-04-02
[2022-04-14 16:30:05,634 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-02 - 2022-04-03
[2022-04-14 16:30:06,730 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-03 - 2022-04-04
[2022-04-14 16:30:08,087 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-04 - 2022-04-05
[2022-04-14 16:30:09,180 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-05 - 2022-04-06
[2022-04-14 16:30:10,103 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-06 - 2022-04-07
[2022-04-14 16:30:11,336 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-07 - 2022-04-08
[2022-04-14 16:30:12,557 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-08 - 2022-04-09
[2022-04-14 16:30:13,566 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-09 - 2022-04-10
[2022-04-14 16:30:14,694 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-10 - 2022-04-11
[2022-04-14 16:30:15,920 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-11 - 2022-04-12
[2022-04-14 16:30:16,935 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-12 - 2022-04-13
[2022-04-14 16:30:17,069 | INFO]: =========== Script end C:\Doc\pythonProject\iter_date_range_download.py ===========
[2022-04-14 16:33:04,893 | INFO]: =========== Script launch C:\Doc\pythonProject\iter_date_range_download.py ===========
