[2022-04-11 13:39:45,011 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-19 - 2022-03-20
[2022-04-11 13:39:46,021 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-20 - 2022-03-21
[2022-04-11 13:39:46,937 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-21 - 2022-03-22
[2022-04-11 13:39:47,954 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-22 - 2022-03-23
[2022-04-11 13:39:48,976 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-23 - 2022-03-24
[2022-04-11 13:39:49,945 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-24 - 2022-03-25
[2022-04-11 13:39:50,969 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-25 - 2022-03-26
[2022-04-11 13:39:52,299 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-26 - 2022-03-27
[2022-04-11 13:39:53,583 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-27 - 2022-03-28
[2022-04-11 13:39:54,627 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-28 - 2022-03-29
[2022-04-11 13:39:56,195 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-29 - 2022-03-30
[2022-04-11 13:39:57,500 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-30 - 2022-03-31
[2022-04-11 13:39:58,703 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-03-31 - 2022-04-01
[2022-04-11 13:40:00,225 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-01 - 2022-04-02
[2022-04-11 13:40:01,492 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-02 - 2022-04-03
[2022-04-11 13:40:02,741 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-03 - 2022-04-04
[2022-04-11 13:40:03,828 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-04 - 2022-04-05
[2022-04-11 13:40:05,023 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-05 - 2022-04-06
[2022-04-11 13:40:06,046 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-06 - 2022-04-07
[2022-04-11 13:40:07,457 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-07 - 2022-04-08
[2022-04-11 13:40:08,902 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-08 - 2022-04-09
[2022-04-11 13:40:09,981 | INFO]: [C:\Doc\pythonProject\iter_date_range_download.py --> write_to_postgres]               create df from request service(event) between 2022-04-09 - 2022-04-10
[2022-04-11 13:40:10,309 | INFO]: =========== Script end C:\Doc\pythonProject\iter_date_range_download.py ===========
